Word,Document Frequency,Term Frequency,Postings
adm,6,11,"['ADM 2342', 'ADM 3340', 'ADM 4103', 'ADM 5361', 'ADM 6286', 'ADM 6287']"
administr,11,13,"['ADM 2337', 'ADM 3334', 'ADM 3396', 'ADM 4103', 'ADM 4396', 'ADM 6311', 'ADM 6316', 'ADM 6332', 'ADM 6392', 'ADM 6396', 'PSY 5202']"
admiss,3,3,"['ADM 3994', 'MAT 1318', 'MAT 1339']"
adolesc,7,9,"['PSY 3105', 'PSY 4105', 'PSY 5114', 'PSY 6103', 'PSY 6190', 'PSY 7105', 'PSY 7905']"
adopt,2,2,"['ADM 6279', 'ADM 6322']"
adult,3,5,"['PSY 5202', 'PSY 6176', 'PSY 6975']"
adulthood,2,2,"['PSY 3128', 'PSY 3136']"
advanc,38,41,"['ADM 2342', 'ADM 2372', 'ADM 3305', 'ADM 4307', 'ADM 4341', 'ADM 4349', 'ADM 4352', 'ADM 4363', 'ADM 6275', 'ADM 6287', 'ADM 6392', 'PSY 4122', 'PSY 5104', 'PSY 6143', 'PSY 6202', 'PSY 7112', 'PSY 7114', 'MAT 4162', 'MAT 4199', 'MAT 4399', 'MAT 4995', 'MAT 4996', 'MAT 5160', 'MAT 5174', 'MAT 9998', 'CSI 3130', 'CSI 5105', 'CSI 5112', 'CSI 5113', 'CSI 5116', 'CSI 5146', 'CSI 5153', 'CSI 5155', 'CSI 5168', 'CSI 5173', 'CSI 5312', 'CSI 5389', 'CSI 7314']"
advantag,3,3,"['ADM 4315', 'ADM 6301', 'ADM 6326']"
adversari,1,1,['CSI 4106']
advertis,8,10,"['ADM 3326', 'ADM 4326', 'ADM 5320', 'ADM 6277', 'ADM 6323', 'ADM 6365', 'ADM 6420', 'CSI 5380']"
advisori,1,1,['MAT 9998']
affect,6,6,"['ADM 1340', 'ADM 2320', 'ADM 4346', 'ADM 4356', 'PSY 7124', 'CSI 5116']"
affin,4,4,"['MAT 2355', 'MAT 4154', 'MAT 5144', 'MAT 5149']"
affirm,2,2,"['PSY 6155', 'PSY 6954']"
afford,1,1,['MAT 5996']
age,4,4,"['PSY 2114', 'PSY 3128', 'PSY 6176', 'PSY 6975']"
agenc,4,4,"['ADM 2352', 'ADM 4352', 'ADM 4903', 'PSY 7102']"
agent,7,7,"['ADM 4337', 'CSI 4107', 'CSI 4109', 'CSI 5128', 'CSI 5161', 'CSI 5183', 'CSI 5389']"
aggreg,2,2,"['ADM 3301', 'ADM 5352']"
aggress,4,4,"['PSY 2110', 'PSY 3301', 'PSY 6115', 'PSY 6904']"
agnosia,2,2,"['PSY 5125', 'PSY 5924']"
agraphia,2,2,"['PSY 5125', 'PSY 5924']"
agreement,3,3,"['ADM 3334', 'ADM 4318', 'MAT 5317']"
ai,3,5,"['CSI 5101', 'CSI 5180', 'CSI 5183']"
aim,2,2,"['ADM 3360', 'ADM 4311']"
air,1,1,['ADM 6277']
alaoglu,1,1,['MAT 5126']
alexia,2,2,"['PSY 5125', 'PSY 5924']"
algebra,27,41,"['MAT 1302', 'MAT 1332', 'MAT 1339', 'MAT 1341', 'MAT 1362', 'MAT 2342', 'MAT 3101', 'MAT 3153', 'MAT 3166', 'MAT 3343', 'MAT 3395', 'MAT 4141', 'MAT 4142', 'MAT 4143', 'MAT 4154', 'MAT 4158', 'MAT 4167', 'MAT 4343', 'MAT 5105', 'MAT 5141', 'MAT 5142', 'MAT 5144', 'MAT 5149', 'MAT 5160', 'CSI 2132', 'CSI 4125', 'CSI 4140']"
